"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"E. Frankfurt",5,4,1500005,1550004,228,1,1,"Germany",1993,17,1,15,24,34,5,16,38,"Germany",1992,34,3,17,42
"Everton",4,2,2560004,2,184,2,1,"England",1993,21,16,-6,25,42,17,-21,44,"England",1992,42,13,-2,53
"FC Bayern",5,3,6200005,2575003,947,1,2,"Germany",1993,17,2,21,22,34,1,31,44,"Germany",1992,34,2,29,47
"FC Metz",7,0,7,0,0,0,0,"France",1993,19,13,-1,17,38,12,1,37,"France",1992,38,12,-1,35
"FC Nantes",2,0,2,0,0,0,0,"France",1993,19,6,4,21,38,5,15,45,"France",1992,38,5,15,45
"FC Schalke 04",5,2,700005,1500002,69,0,1,"Germany",1993,17,18,-18,9,34,14,-12,29,"Germany",1992,34,10,-1,34
"G. Bordeaux",3,3,3,3,230,0,1,"France",1993,19,2,12,25,38,4,17,46,"France",1992,38,4,17,48
"Genoa",2,1,2,5940001,54,0,1,"Italy",1993,17,14,-9,13,34,11,-8,32,"Italy",1992,34,13,-14,31
"Hamburger SV",7,3,2350007,750003,119,0,2,"Germany",1993,17,6,5,20,34,12,-4,34,"Germany",1992,34,11,-2,31
"Inter",4,4,15450004,150004,123,0,1,"Italy",1993,17,6,7,20,34,13,1,31,"Italy",1992,34,2,23,46
"Ipswich",3,1,2380003,2400001,159,1,1,"England",1993,22,10,-4,30,42,19,-23,43,"England",1992,42,16,-5,52
"Juventus",8,4,15930008,8575004,389,0,1,"Italy",1993,17,2,14,23,34,2,33,47,"Italy",1992,34,4,12,39
"Karlsruher SC",6,0,1300006,0,0,1,0,"Germany",1993,17,10,3,16,34,6,3,38,"Germany",1992,34,6,6,39
"Lazio",6,1,9475006,4500001,418,0,1,"Italy",1993,17,5,6,21,34,4,15,44,"Italy",1992,34,5,14,38
"Leeds",4,2,4350004,1263002,405,1,1,"England",1993,22,2,12,40,42,5,26,70,"England",1992,42,17,-5,51
"Lens",5,0,5,0,0,0,0,"France",1993,19,14,-1,17,38,10,9,39,"France",1992,38,9,-5,40
"Liverpool",9,6,10250009,1256006,431,2,2,"England",1993,21,6,7,32,42,8,4,60,"England",1992,42,6,7,59
"LOSC Lille",2,1,2,1,2,0,0,"France",1993,19,16,-8,15,38,15,-11,32,"France",1992,38,17,-22,30
"Man City",6,1,3341006,1,63,1,1,"England",1993,21,17,-8,19,42,16,-11,45,"England",1992,42,9,5,57
"Man Utd",5,4,8500005,4,258,1,1,"England",1993,22,1,26,53,42,1,42,92,"England",1992,42,1,36,84
"Marseille",4,2,4,3750002,270,1,1,"France",1993,19,3,8,25,38,2,23,51,"France",1992,38,1,36,55
"MK Dons",2,0,210002,0,0,0,0,"England",1993,21,12,-4,28,42,6,3,65,"England",1992,42,12,1,54
"Monaco",2,0,2,0,0,0,0,"France",1993,19,4,12,23,38,9,16,41,"France",1992,38,3,27,51
"Montpellier",3,0,3,0,0,0,0,"France",1993,19,9,2,20,38,7,4,43,"France",1992,38,10,-5,36
"Norwich",3,0,250003,0,0,1,0,"England",1993,19,7,9,31,42,12,4,53,"England",1992,42,3,-4,72
"Oldham Athletic",4,1,4,1130001,88,1,1,"England",1993,21,18,-16,19,42,21,-26,40,"England",1992,42,19,-11,49
"Olympique Lyon",4,0,4,0,0,0,0,"France",1993,19,11,-4,18,38,8,-2,42,"France",1992,38,14,-5,33
"Paris SG",2,2,5000002,2,2,0,0,"France",1993,19,1,15,29,38,1,32,59,"France",1992,38,2,32,51
"Parma",2,1,2,100001,2,0,0,"Italy",1993,17,4,12,22,34,5,15,41,"Italy",1992,34,3,13,41
"QPR",5,4,820005,3350004,177,0,1,"England",1993,20,8,6,31,42,9,1,60,"England",1992,42,5,8,63
"R. Strasbourg",1,0,1,0,0,0,0,"France",1993,19,8,3,20,38,13,-4,34,"France",1992,38,8,1,40
"Rayo Vallecano",4,3,4,600003,642,1,1,"Spain",1993,19,15,-9,17,38,17,-18,31,"Spain",1992,38,14,-9,33
"Real Madrid",4,3,10350004,1700003,627,1,1,"Spain",1993,19,4,5,23,38,4,11,45,"Spain",1992,38,2,47,57
"Real Oviedo",5,0,750005,0,0,0,0,"Spain",1993,19,10,-3,19,38,9,-6,37,"Spain",1992,38,16,-10,32
"Real Sociedad",3,0,3,0,0,0,0,"Spain",1993,19,9,-1,20,38,11,-8,36,"Spain",1992,38,12,-13,34
"Real Zaragoza",5,0,3050005,0,0,1,0,"Spain",1993,19,13,3,18,38,3,24,46,"Spain",1992,38,9,-15,35
"Saint-Étienne",5,0,1250005,0,0,1,0,"France",1993,19,12,1,17,38,11,2,37,"France",1992,38,7,8,43
"Sampdoria",5,1,7800005,3000001,198,1,1,"Italy",1993,17,3,7,23,34,3,25,44,"Italy",1992,34,7,2,36
"Sevilla FC",3,1,420003,900001,0,1,0,"Spain",1993,19,6,8,21,38,6,14,42,"Spain",1992,38,7,2,43
"Sheff Utd",4,1,600004,4350001,309,1,1,"England",1993,22,19,-15,18,42,20,-18,42,"England",1992,42,14,1,52
"Sheff Wed",6,4,7022006,7500004,244,1,1,"England",1993,21,13,8,27,42,7,22,64,"England",1992,42,7,4,59
"SM Caen",6,0,6,0,0,0,0,"France",1993,19,18,-16,15,38,16,-25,31,"France",1992,38,11,1,35
"Southampton",4,0,1670004,0,0,1,0,"England",1993,21,21,-14,14,42,18,-17,43,"England",1992,42,18,-7,50
"Sporting Gijón",8,2,150008,1950002,105,0,1,"Spain",1993,19,3,9,24,38,14,-15,35,"Spain",1992,38,13,-19,34
"Spurs",7,9,2963007,7670009,757,1,1,"England",1993,21,14,5,27,42,15,-5,45,"England",1992,42,8,-6,59
"SSC Napoli",7,1,7,1,152,1,1,"Italy",1993,17,7,10,19,34,6,6,36,"Italy",1992,34,11,-1,32
"Torino",3,1,3,7000001,40,0,1,"Italy",1993,17,8,5,18,34,8,2,34,"Italy",1992,34,9,0,35
"Toulouse",4,2,4,2,60,0,1,"France",1993,19,19,-13,13,38,19,-34,23,"France",1992,38,13,-9,34
"Udinese Calcio",6,0,1650006,0,0,0,0,"Italy",1993,17,17,-12,11,34,16,-13,28,"Italy",1992,34,15,-6,30
"Valencia",6,0,3600006,0,0,1,0,"Spain",1993,19,11,-4,19,38,7,5,40,"Spain",1992,38,4,27,48
"VfB Stuttgart",8,3,3975008,2550003,1014,1,2,"Germany",1993,17,13,-9,14,34,7,8,37,"Germany",1992,34,7,6,36
"Wattenscheid 09",5,0,250005,0,0,1,0,"Germany",1993,17,16,-11,11,34,17,-22,23,"Germany",1992,34,14,-21,28
"Werder Bremen",4,4,1100004,775004,102,0,1,"Germany",1993,17,7,6,19,34,8,7,36,"Germany",1992,34,1,33,48
"1. FC Köln",4,2,1250004,500002,218,1,2,"Germany",1994,17,13,-10,13,34,10,0,32,"Germany",1993,34,11,-2,34
"1.FC K'lautern",8,3,3705008,2300003,185,1,1,"Germany",1994,17,6,5,22,34,4,17,46,"Germany",1993,34,2,28,43
"AC Le Havre",7,0,7,0,0,0,0,"France",1994,19,13,-4,17,38,12,-3,37,"France",1993,38,17,-19,29
"AC Milan",5,5,750005,6750005,2121,1,1,"Italy",1994,17,5,6,28,34,4,21,60,"Italy",1993,34,1,21,50
"AJ Auxerre",3,0,3,0,0,0,0,"France",1994,19,4,15,23,38,3,25,47,"France",1993,38,3,26,46
"Albacete",5,2,5,1200002,220,1,2,"Spain",1994,19,15,-9,15,38,17,-17,34,"Spain",1993,38,13,-9,35
"Arsenal",3,2,1180003,4200002,231,0,1,"England",1994,21,11,3,28,42,12,3,51,"England",1993,42,4,25,71
"AS Roma",4,7,4,9700007,177.333333333333,0,1,"Italy",1994,17,4,10,28,34,5,21,59,"Italy",1993,34,7,5,35
"Aston Villa",3,1,240003,1,48,1,1,"England",1994,21,19,-6,20,42,18,-5,48,"England",1993,42,10,-4,57
"Athletic",4,4,5500004,4180004,1145,1,2,"Spain",1994,19,7,-1,21,38,8,-3,42,"Spain",1993,38,5,14,43
"Atlético Madrid",6,3,8400006,1800003,126,2,2,"Spain",1994,19,18,-2,14,38,14,2,35,"Spain",1993,38,12,0,35
"Barcelona",9,4,11150009,13800004,1645,1,2,"Spain",1994,19,3,9,25,38,4,15,46,"Spain",1993,38,1,49,56
"Bay. Leverkusen",6,5,1457006,2210005,987,1,1,"Germany",1994,17,8,10,20,34,7,11,36,"Germany",1993,34,3,13,39
"Blackburn",2,1,7500002,2100001,37,1,1,"England",1994,20,1,28,46,42,1,41,89,"England",1993,42,2,27,84
"Bor. Dortmund",5,2,5675005,1150002,649,1,1,"Germany",1994,17,1,26,28,34,1,34,49,"Germany",1993,34,4,4,39
"Bor. M'gladbach",1,0,750001,0,0,1,0,"Germany",1994,17,3,16,23,34,5,25,43,"Germany",1993,34,10,6,35
"Cagliari Calcio",6,0,6,0,0,0,0,"Italy",1994,17,11,-2,22,34,9,1,49,"Italy",1993,34,12,-9,32
"Cannes",7,0,7,0,0,1,0,"France",1994,19,5,10,22,38,9,8,38,"France",1993,38,6,7,44
"CD Logroñés",4,3,4,2070003,39,1,2,"Spain",1994,19,20,-26,8,38,20,-64,13,"Spain",1993,38,16,-11,33
"CD Tenerife",6,2,2310006,4700002,321,1,1,"Spain",1994,19,9,6,20,38,15,0,35,"Spain",1993,38,10,-7,36
"Celta de Vigo",5,5,1500005,600005,921,1,2,"Spain",1994,19,14,-10,17,38,13,-12,36,"Spain",1993,38,15,-10,33
"Chelsea",5,4,6130005,4,844,1,1,"England",1994,22,9,-1,29,42,11,-5,54,"England",1993,42,14,-4,51
"Coventry",4,4,6900004,12010004,627,1,1,"England",1994,22,15,-17,25,42,16,-18,50,"England",1993,42,11,-2,56
"Cremonese",2,1,500002,1,86,0,1,"Italy",1994,17,14,-6,17,34,13,-3,41,"Italy",1993,34,10,0,32
"Dep. La Coruña",0,2,0,180002,0,0,2,"Spain",1994,19,2,16,27,38,2,36,51,"Spain",1993,38,2,36,56
"Dynamo Dresden",8,5,1425008,2325005,607,1,1,"Germany",1994,17,16,-14,10,34,18,-35,16,"Germany",1993,34,13,-11,34
"E. Frankfurt",6,4,4650006,4,1814,2,2,"Germany",1994,17,11,-6,16,34,9,-8,33,"Germany",1993,34,5,16,38
"Everton",4,0,3780004,0,0,0,0,"England",1994,20,20,-12,19,42,15,-7,50,"England",1993,42,17,-21,44
"FC Bayern",6,6,6450006,7775006,1188,1,2,"Germany",1994,17,5,9,22,34,6,14,43,"Germany",1993,34,1,31,44
"FC Martigues",7,0,7,0,0,0,0,"France",1994,19,9,-2,20,38,11,-12,38,"France",1993,38,18,-21,27
"FC Metz",1,0,1,0,0,0,0,"France",1994,19,14,-7,17,38,8,6,40,"France",1993,38,12,1,37
"FC Nantes",4,0,4,0,0,0,0,"France",1994,19,1,20,30,38,1,37,58,"France",1993,38,5,15,45
"FC Schalke 04",7,1,1375007,1,92,1,0,"Germany",1994,17,12,-2,15,34,11,-6,31,"Germany",1993,34,14,-12,29
"FC Sochaux",3,0,3,0,0,0,0,"France",1994,19,20,-17,13,38,20,-39,17,"France",1993,38,14,-10,33
"Foggia",3,1,3,2500001,48,0,1,"Italy",1994,17,8,-3,24,34,16,-18,34,"Italy",1993,34,9,0,33
"G. Bordeaux",3,2,3,2,6,0,0,"France",1994,19,7,3,22,38,7,5,41,"France",1993,38,4,17,46
"Genoa",5,1,5,1,25.6666666666667,0,0,"Italy",1994,17,15,-7,17,34,14,-15,40,"Italy",1993,34,11,-8,32
"Hamburger SV",6,5,2110006,410005,698,1,1,"Germany",1994,17,9,5,18,34,13,-7,29,"Germany",1993,34,12,-4,34
"Inter",8,3,8,3,66.6666666666667,0,1,"Italy",1994,17,12,0,21,34,6,5,52,"Italy",1993,34,13,1,31
"Ipswich",7,0,595007,0,0,1,0,"England",1994,21,22,-22,13,42,22,-57,27,"England",1993,42,19,-23,43
"Juventus",8,5,14670008,15020005,1942,1,1,"Italy",1994,17,1,11,36,34,1,27,73,"Italy",1993,34,2,33,47
"Karlsruher SC",8,3,7450008,3350003,1155,1,2,"Germany",1994,17,7,5,21,34,8,4,36,"Germany",1993,34,6,3,38
"Lazio",8,4,5170008,3500004,1669,2,2,"Italy",1994,17,3,16,31,34,2,35,63,"Italy",1993,34,4,15,44
"Leeds",3,2,3525003,1500002,285,1,1,"England",1994,20,7,4,32,42,5,21,73,"England",1993,42,5,26,70
"Lens",2,1,2,1,2,0,0,"France",1994,19,6,7,22,38,5,4,44,"France",1993,38,10,9,39
"Liverpool",7,5,19540007,3750005,526,1,1,"England",1994,21,3,19,39,42,4,28,74,"England",1993,42,8,4,60
"LOSC Lille",5,3,5,3,15,0,1,"France",1994,19,16,-10,15,38,14,-15,35,"France",1993,38,15,-11,32
"Man City",4,3,2250004,2860003,826,1,1,"England",1994,21,12,-5,28,42,17,-11,49,"England",1993,42,16,-11,45
"Man Utd",8,3,2220008,6700003,636,1,1,"England",1994,21,2,23,45,42,2,49,88,"England",1993,42,1,42,92
"MK Dons",4,3,1500004,8200003,790,1,1,"England",1994,22,10,-10,29,42,9,-17,56,"England",1993,42,6,3,65
"Monaco",3,2,8250003,2750002,119,0,1,"France",1994,19,10,3,19,38,6,21,42,"France",1993,38,9,16,41
"Montpellier",2,0,2,0,0,0,0,"France",1994,19,19,-13,13,38,17,-15,32,"France",1993,38,7,4,43
"MSV Duisburg",7,3,2450007,2350003,738,1,2,"Germany",1994,17,18,-21,7,34,17,-33,20,"Germany",1993,34,9,-11,36
"Newcastle",5,0,9380005,0,0,1,0,"England",1994,20,4,17,39,42,6,20,72,"England",1993,42,3,41,77
"Norwich",6,4,3460006,9000004,613,1,1,"England",1994,21,8,1,30,42,20,-17,43,"England",1993,42,12,4,53
"Olympique Lyon",6,0,6,0,0,0,0,"France",1994,19,3,9,24,38,2,18,50,"France",1993,38,8,-2,42
"Paris SG",6,2,6,2,16,1,1,"France",1994,19,2,13,25,38,4,17,47,"France",1993,38,1,32,59
"Parma",5,0,7200005,0,0,1,0,"Italy",1994,17,2,15,35,34,3,20,63,"Italy",1993,34,5,15,41
"QPR",0,1,0,5000001,0,0,0,"England",1994,21,16,-6,24,42,8,2,60,"England",1993,42,9,1,60
"R. Strasbourg",5,1,5,1,6,1,1,"France",1994,19,8,5,21,38,10,0,38,"France",1993,38,13,-4,34
"Racing",3,0,3,0,0,1,0,"Spain",1994,19,19,-8,14,38,12,-5,36,"Spain",1993,38,8,2,38
"Real Madrid",8,2,15200008,600002,504,1,1,"Spain",1994,19,1,31,29,38,1,47,55,"Spain",1993,38,4,11,45
"Real Oviedo",2,0,600002,0,0,1,0,"Spain",1994,19,13,-3,17,38,9,3,39,"Spain",1993,38,9,-6,37
"Real Sociedad",1,1,750001,1300001,10,0,1,"Spain",1994,19,10,2,18,38,10,12,38,"Spain",1993,38,11,-8,36
"Real Valladolid",2,1,2,900001,34,0,1,"Spain",1994,19,17,-20,15,38,19,-38,25,"Spain",1993,38,18,-23,30
"Real Zaragoza",1,1,1,1,149,1,1,"Spain",1994,19,4,7,25,38,7,5,43,"Spain",1993,38,3,24,46
"Reggiana",5,3,1000005,600003,200,0,1,"Italy",1994,17,17,-10,12,34,17,-32,18,"Italy",1993,34,14,-8,31
"Saint-Étienne",4,1,4,150001,2,0,0,"France",1994,19,12,1,17,38,18,-10,29,"France",1993,38,11,2,37
"Sampdoria",3,1,6000003,1,5,1,1,"Italy",1994,17,7,11,25,34,8,14,50,"Italy",1993,34,3,25,44
"SC Freiburg",3,0,375003,0,0,0,0,"Germany",1994,17,4,14,23,34,3,22,46,"Germany",1993,34,15,-3,28
"Sevilla FC",4,2,1800004,2700002,1,2,2,"Spain",1994,19,6,5,21,38,6,14,43,"Spain",1993,38,6,14,42
"Sheff Wed",3,3,3400003,3708003,354,1,1,"England",1994,21,13,-2,27,42,13,-8,51,"England",1993,42,7,22,64
"SM Caen",2,1,2,1,86,0,1,"France",1994,19,18,-8,13,38,19,-20,26,"France",1993,38,16,-25,31
"Southampton",2,1,688002,300001,80,0,1,"England",1994,21,14,-5,25,42,10,-2,54,"England",1993,42,18,-17,43
"Sporting Gijón",7,4,2400007,4800004,257,1,2,"Spain",1994,19,16,-13,15,38,18,-25,28,"Spain",1993,38,14,-15,35
"Spurs",7,5,9350007,5,540,1,1,"England",1994,22,6,4,33,42,7,8,62,"England",1993,42,15,-5,45
"SSC Napoli",4,1,4,5170001,192,0,1,"Italy",1994,17,13,-7,18,34,7,-5,51,"Italy",1993,34,6,6,36
"Torino",8,5,8,5,510.333333333333,0,1,"Italy",1994,17,9,-2,23,34,11,-4,45,"Italy",1993,34,8,2,34
"Valencia",4,4,2670004,1800004,149,1,2,"Spain",1994,19,11,1,18,38,11,5,38,"Spain",1993,38,7,5,40
"VfB Stuttgart",11,4,4200011,1500004,493,1,1,"Germany",1994,17,10,-4,16,34,12,-14,30,"Germany",1993,34,7,8,37
"Werder Bremen",4,1,1500004,1150001,127,0,1,"Germany",1994,17,2,12,24,34,2,31,48,"Germany",1993,34,8,7,36
"West Ham",7,3,6073007,627003,688,1,1,"England",1994,21,18,-7,22,42,14,-4,50,"England",1993,42,13,-11,52
"1. FC Köln",10,3,3700010,1900003,1829,1,1,"Germany",1995,17,13,-4,17,34,12,-2,40,"Germany",1994,34,10,0,32
"1.FC K'lautern",6,2,3225006,4150002,1270,1,1,"Germany",1995,17,14,-6,17,34,16,-6,36,"Germany",1994,34,4,17,46
"1860 Munich",6,1,2130006,1,493,1,1,"Germany",1995,17,11,-4,18,34,8,6,45,"Germany",1994,34,14,-16,27
"AC Le Havre",2,0,2,0,0,0,0,"France",1995,19,13,-10,23,38,13,-12,45,"France",1994,38,12,-3,37
"AC Milan",6,1,18860006,1,61,1,0,"Italy",1995,17,1,14,34,34,1,36,73,"Italy",1994,34,4,21,60
"AJ Auxerre",2,2,2,2000002,98,1,1,"France",1995,19,2,16,34,38,1,36,72,"France",1994,38,3,25,47
"Albacete",8,4,700008,4,3759,1,1,"Spain",1995,21,18,-11,21,42,21,-26,42,"Spain",1994,38,17,-17,34
"Arsenal",5,3,18350005,2200003,715,1,1,"England",1995,19,7,9,31,38,5,17,63,"England",1994,42,12,3,51
"AS Roma",5,1,5,1,770,0,1,"Italy",1995,17,6,5,25,34,5,17,58,"Italy",1994,34,5,21,59
"Aston Villa",6,1,12004006,1,259,1,1,"England",1995,19,6,10,32,38,4,17,63,"England",1994,42,18,-5,48
"Athletic",3,0,3000003,0,0,1,0,"Spain",1995,21,10,0,28,42,13,-11,48,"Spain",1994,38,8,-3,42
"Atlético Madrid",6,3,1820006,1050003,926,1,0,"Spain",1995,21,1,29,49,42,1,43,87,"Spain",1994,38,14,2,35
"Barcelona",11,7,16800011,17700007,1233,1,1,"Spain",1995,21,4,21,39,42,3,33,80,"Spain",1994,38,4,15,46
"Bari",3,1,3,1,207,0,1,"Italy",1995,17,15,-12,16,34,15,-22,32,"Italy",1994,34,12,-3,44
"Bay. Leverkusen",5,7,3850005,8000007,495,0,1,"Germany",1995,17,6,7,25,34,14,-1,38,"Germany",1994,34,7,11,36
"Blackburn",6,1,3040006,1,44,1,1,"England",1995,19,11,4,25,38,7,14,61,"England",1994,42,1,41,89
"Bor. Dortmund",6,3,11000006,1400003,5490,1,1,"Germany",1995,17,1,24,40,34,1,38,68,"Germany",1994,34,1,34,49
"Bor. M'gladbach",8,3,5650008,6100003,6620,1,1,"Germany",1995,17,4,-3,28,34,4,1,53,"Germany",1994,34,5,25,43
"Cagliari Calcio",4,3,4,3,504,0,1,"Italy",1995,17,13,-11,20,34,11,-13,41,"Italy",1994,34,9,1,49
"Cannes",9,1,9,1,538,1,1,"France",1995,19,20,-16,13,38,14,-6,44,"France",1994,38,9,8,38
"CD Tenerife",4,2,6600004,1020002,340,1,1,"Spain",1995,21,9,0,32,42,5,15,72,"Spain",1994,38,15,0,35
"Celta de Vigo",2,0,2,0,0,0,0,"Spain",1995,21,11,-3,27,42,11,-2,52,"Spain",1994,38,13,-12,36
"Chelsea",4,3,4,200003,1183,1,1,"England",1995,19,10,-1,28,38,11,2,50,"England",1994,42,11,-5,54
"Coventry",7,2,2950007,240002,809,1,1,"England",1995,19,19,-16,15,38,16,-18,38,"England",1994,42,16,-18,50
"Cremonese",4,1,4,200001,188,1,1,"Italy",1995,17,18,-7,11,34,17,-20,27,"Italy",1994,34,13,-3,41
"Dep. La Coruña",5,2,4780005,2,2004,1,1,"Spain",1995,21,8,16,32,42,9,19,61,"Spain",1994,38,2,36,51
"E. Frankfurt",13,6,2725013,4350006,4989,1,1,"Germany",1995,17,10,-4,20,34,17,-25,32,"Germany",1994,34,9,-8,33
"Espanyol",2,0,1050002,0,0,1,0,"Spain",1995,21,3,16,41,42,4,27,74,"Spain",1994,38,5,16,43
"Everton",9,1,17990009,1,265,1,0,"England",1995,19,12,1,23,38,6,20,61,"England",1994,42,15,-7,50
"FC Bayern",4,6,9740004,4375006,4699,1,1,"Germany",1995,17,2,18,38,34,2,20,62,"Germany",1994,34,6,14,43
"FC Martigues",4,2,4,2,1008,1,1,"France",1995,19,18,-13,15,38,20,-27,34,"France",1994,38,11,-12,38
"FC Metz",3,0,3,0,0,1,0,"France",1995,19,3,7,34,38,4,12,65,"France",1994,38,8,6,40
"FC Nantes",4,1,4,1,2238,1,1,"France",1995,19,7,4,30,38,7,2,55,"France",1994,38,1,37,58
"FC Schalke 04",7,4,975007,1100004,8245,1,1,"Germany",1995,17,8,-2,25,34,3,9,56,"Germany",1994,34,11,-6,31
"Fiorentina",6,2,4200006,3800002,5973,1,1,"Italy",1995,17,2,11,33,34,4,12,59,"Italy",1994,34,10,4,47
"G. Bordeaux",5,4,5,4,234,0,1,"France",1995,19,14,-4,22,38,16,-8,42,"France",1994,38,7,5,41
"Hamburger SV",10,2,2200010,500002,18,1,1,"Germany",1995,17,5,6,26,34,5,5,50,"Germany",1994,34,13,-7,29
"Inter",9,4,29200009,13150004,7022,1,1,"Italy",1995,17,8,7,24,34,7,21,54,"Italy",1994,34,6,5,52
"Juventus",3,4,6000003,13340004,230,1,1,"Italy",1995,17,4,8,28,34,2,23,65,"Italy",1994,34,1,27,73
"Karlsruher SC",2,1,125002,100001,5,0,0,"Germany",1995,17,12,-6,18,34,7,6,48,"Germany",1994,34,8,4,36
"Lazio",3,1,3,1,219,0,1,"Italy",1995,17,5,12,26,34,3,28,59,"Italy",1994,34,2,35,63
"Leeds",8,2,3550008,4870002,2757,1,1,"England",1995,19,9,0,28,38,13,-17,43,"England",1994,42,5,21,73
"Lens",3,3,1500003,3,795,1,1,"France",1995,19,4,9,33,38,5,14,63,"France",1994,38,5,4,44
"Liverpool",6,0,25500006,0,0,1,0,"England",1995,19,3,18,34,38,3,36,71,"England",1994,42,4,28,74
"LOSC Lille",4,1,4,1,529,1,1,"France",1995,19,17,-10,16,38,17,-23,39,"France",1994,38,14,-15,35
"Man City",7,2,6813007,2,1776,1,1,"England",1995,19,17,-18,16,38,18,-25,38,"England",1994,42,17,-11,49
"Man Utd",3,3,3,18093003,96,1,1,"England",1995,19,2,14,35,38,1,38,82,"England",1994,42,2,49,88
"MK Dons",11,4,125011,4500004,2776,1,1,"England",1995,19,18,-15,15,38,14,-15,41,"England",1994,42,9,-17,56
"Monaco",4,3,2600004,3,1001,1,1,"France",1995,19,11,2,26,38,3,25,68,"France",1994,38,6,21,42
"Montpellier",2,2,2,2,2048,1,1,"France",1995,19,9,2,27,38,6,11,60,"France",1994,38,17,-15,32
"Newcastle",7,8,19450007,14420008,1745,1,1,"England",1995,19,1,24,45,38,2,29,78,"England",1994,42,6,20,72
"Nottm Forest",5,7,3843005,16414007,1050,1,1,"England",1995,19,8,2,31,38,9,-4,58,"England",1994,42,3,29,77
"OGC Nice",5,0,5,0,0,1,0,"France",1995,19,12,0,25,38,12,-7,45,"France",1994,38,16,-13,32
